Species,Expert,RCP,yr12,yr15,yr20,yr25,yr30,yr35,yr40,yr45,yr50,yr55,yr60,yr65,yr70,yr75,yr80,yr85,yr90,yr95,yr00,Dif12_00
Dussumieria_acuta,0,2.6,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,260793.511,0
Lactarius_lactarius,0,2.6,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,0
Lepturacanthus_savala,0,2.6,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,306865.193,306865.193,306865.193,306865.193,306865.193,306865.193,306865.193,306865.193,306865.193,306865.193,306865.193,-1821.7
Lutjanus_lutjanus,0,2.6,296618.409,296618.409,296618.409,296618.409,296618.409,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,308686.916,12068.5
Megalaspis_cordyla,0,2.6,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,307763.031,0
Nemipterus_japonicus,1,2.6,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,0
Parupeneus_heptacanthus,0,2.6,295509.383,305720.023,317592.86,317592.86,317592.86,317592.86,317592.86,317592.86,322909.619,322909.619,322909.619,322909.619,322909.619,322909.619,322909.619,322909.619,322909.619,322909.619,322909.619,27400.2
Pennahia_anea,0,2.6,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,296618.409,0
Pentaprion_longimanus,0,2.6,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,0
Rastrelliger_kanagurta,1,2.6,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,295694.524,0
Saurida_elongata,0,2.6,54046.478,54166.256,66191.21,69305.442,81232.55,105010.091,139838.025,157383.887,157383.887,157383.887,157383.887,180334.642,180334.642,180334.642,180334.642,180334.642,180334.642,180334.642,180334.642,0
Saurida_undosquamis,1,2.6,54046.478,54166.256,66191.21,69305.442,81232.55,105010.091,139838.025,157383.887,157383.887,157383.887,157383.887,180334.642,180334.642,180334.642,180334.642,180334.642,180334.642,180334.642,180334.642,126288.2
Scomberomorus_guttatus,0,2.6,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,0
Selar_crumenophthalmus,1,2.6,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,327302.821,0
Sphyraena_barracuda,1,2.6,192812.975,203735.985,236846.671,252855.549,252855.549,252855.549,261126.063,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,269674.506,76861.5
